date,MSFT,AMZN,IBM,GOOG,AAPL
2007-09-01,28.04,93.15,112.6,567.27,153.47
2007-10-01,35.03,89.15,111.0,707.0,189.95
2007-11-01,32.09,90.56,100.9,693.0,182.22
2007-12-01,34.0,92.64,103.7,691.48,198.08
2008-01-01,31.13,77.7,102.75,564.3,135.36
2008-02-01,26.07,64.47,109.64,471.18,125.02
2008-03-01,27.21,71.3,110.87,440.47,143.5
2008-04-01,27.34,78.63,116.23,574.29,173.95
2008-05-01,27.25,81.62,125.14,585.8,188.75
2008-06-01,26.47,73.33,114.6,526.42,167.44
2008-07-01,24.75,76.34,123.74,473.75,158.95
2008-08-01,26.36,80.81,118.16,463.29,169.53
2008-09-01,25.78,72.76,113.53,400.52,113.66
2008-10-01,21.57,57.24,90.24,359.36,107.59
2008-11-01,19.66,42.7,79.65,292.96,92.67
2008-12-01,18.91,51.28,82.15,307.65,85.35
2009-01-01,16.63,58.82,89.46,338.53,90.13
2009-02-01,15.81,64.79,90.32,337.99,89.31
2009-03-01,17.99,73.44,95.09,348.06,105.12
2009-04-01,19.84,80.52,101.29,395.97,125.83
2009-05-01,20.59,77.99,104.85,417.23,135.81
2009-06-01,23.42,83.66,103.01,421.59,142.43
2009-07-01,23.18,85.76,116.34,443.05,163.39
2009-08-01,24.43,81.19,117.0,461.67,168.21
2009-09-01,25.49,93.36,118.55,495.85,185.35
2009-10-01,27.48,118.81,119.54,536.12,188.5
2009-11-01,29.27,135.91,125.79,583.0,199.91
2009-12-01,30.34,134.52,130.32,619.98,210.73
2010-01-01,28.05,125.41,121.85,529.94,192.06
2010-02-01,28.67,118.4,127.16,526.8,204.62
2010-03-01,28.8,128.82,125.55,560.19,223.02
